,Ticker,Mean,std,minChange,PI,ticker
0,FID,0.4934452657267853,0.36934054349704565,0.0,,
0,CAMT,1.6700119595902514,1.190802953015415,0.0,,
0,TGTX,2.4379668613267853,2.627890839622301,0.06702566240415209,,
0,TGVC,0.04760011880624106,0.08325836376545394,0.0,,
0,TGVCU,0.0,0.0,0.0,,
0,TH,1.5612361115113564,1.4036104528310944,0.0,,
0,CAMP,2.6277349879975263,2.1190471498422463,0.0,,
0,GYRO,0.5140689684113154,1.3256080292337262,0.0,,
0,HAFC,2.534268710969883,2.588816713338756,0.14948025461727354,,
0,AKTS,2.462502271980079,2.083940717251775,0.0,,
0,ARKO,1.60261731781211,1.019022693389529,0.11627063679049421,,
0,AKRO,2.2017881973218616,1.8924488017562398,0.0,,
0,HAIA,0.09649807852393698,0.26268377207554466,0.0,,
0,HAIAU,0.3342882784971476,1.250792206550797,0.0,,
0,HAIN,1.590696855452372,1.090808507500947,0.0,,
0,HALL,3.249957804226619,4.02752395334936,0.0,,
0,HALO,2.1423337313548445,1.6850867986496247,0.0,,
0,AUVI,3.6674552446146724,3.3875683343462213,0.0,,
0,FIXT,0.09481160444158032,0.354752540110728,0.0,,
0,HARP,4.777721386962996,3.351476355312271,0.7142850452539706,,
0,HAS,1.5580010288045647,0.7030211966377957,0.5080268332678717,,
0,HBAN,1.6947501504568077,1.3377328186252653,0.0,,
0,HBANL,2.3752865649973645,2.129429913756869,0.0,,
0,HBANM,2.7167783743540705,1.758777659013569,0.0,,
0,HBANP,2.692040123157056,2.317393670791097,0.0,,
0,HBCP,1.5044253638111573,2.3169862454245087,0.0,,
0,HBT,2.0556308294439614,2.47971162530132,0.0,,
0,HCAT,2.5128500331777586,2.186662508443561,0.0,,
0,HCCI,1.5464123149389688,1.0301952799200433,0.11286940484585006,,
0,HCDI,13.856262686243472,21.313219211122714,0.5410411329864084,,
0,AACIU,0.0,0.0,0.0,,
0,AUUD,5.387966879106548,6.0859296371139,0.0,,
0,FLGT,1.9138523991765761,1.5120467858749291,0.0,,
0,HCDIP,3.243186227950328,3.2019328962205353,0.0,,
0,HCM,1.9818584879721228,2.24217903014843,0.0,,
0,HCMA,0.0,0.0,0.0,,
0,HCMAU,0.0,0.0,0.0,,
0,HCNE,0.12670004908287766,0.3101815068610815,0.0,,
0,HCNEU,0.3396362881098252,1.27080262622261,0.0,,
0,HCP,2.062569651815319,1.9335556768575175,0.0,,
0,HCSG,1.8090053730248923,1.341479077989838,0.07225598823397128,,
0,AACI,0.021300576341849137,0.07969945881202209,0.0,,
0,ACTG,2.016432690195634,1.7517631180245314,0.0,,
0,CALT,3.194521904717285,2.408236516244641,0.0,,
0,CALM,1.8033168803555095,1.6263274082999253,0.21821954577563307,,
0,ACT,1.3324087712221044,1.2712953834855152,0.0,,
0,ACST,4.551660991958593,3.116865961738202,0.0,,
0,AUTL,2.5866282647951144,2.6262952783818716,0.0,,
0,FLJ,5.905373443922862,3.6643940305608824,0.0,,
0,FLL,2.2451757335658025,1.5773526927434391,0.0,,
0,HCTI,5.91002770262584,7.070205469274404,0.0,,
0,THCH,3.3918992815390157,3.5121420506009375,0.0,,
0,THCP,0.08476128148699706,0.2121438828657632,0.0,,
0,FLN,0.6309860280260641,0.7099232078484174,0.0,,
0,THCPU,0.0,0.0,0.0,,
0,CALB,1.686918795943485,1.397220538092928,0.0,,
0,THFF,1.5963253609143766,1.8716398513125674,0.0,,
0,HDSN,2.2665228217417104,2.001011618679475,0.2478371563817916,,
0,HEES,1.7074844318688698,1.2730018864589039,0.2305794126843841,,
0,HELE,2.291070187880526,1.470540512671318,0.6172801073319523,,
